Year,Fuel Expense,Labor Expense,Net Profit,Operating Profit,Other Expense*,Pre-Tax Profit,Total Operating Expense,Total Operating Revenue
1977,3618.257801,7481.103285,668.714122,874.218349,7449.610387,887.994015,18548.97147,19423.18982
1978,4040.031519,8569.217569,1176.463538,1320.030504,8315.245363,1353.999008,20924.49445,22244.52496
1979,6267.339501,9974.888406,324.859741,208.715808,9960.302291,148.149073,26202.5302,26411.24601
1980,9443.360496,11301.49643,50.957491,-189.312623,11394.95048,-156.621762,32139.80741,31950.49479
1981,10180.04502,12124.37428,-257.486974,-448.481629,12534.21746,-699.919566,34838.63676,34390.15513
1982,9643.357811,12348.17133,-905.574912,-746.720832,13574.72104,-1004.554975,35566.25018,34819.52935
1983,8958.86889,13112.68762,-152.091957,288.609632,14764.11869,-83.335978,36835.6752,37124.28483
1984,9321.649209,13544.91977,645.346903,1953.939526,17177.91629,1278.161608,40044.48527,41998.42479
1985,9282.569334,14350.71897,845.834964,1299.090685,19604.81921,986.420398,43238.10751,44537.19819
1986,6950.901865,15127.10201,-121.87554,890.709951,21898.36087,121.742934,43976.36474,44867.07469
1987,7530.287216,16398.4211,163.13591,1841.993085,25186.63054,691.63038,49115.33886,50957.33194
1988,7479.135396,17845.37005,1314.379111,2800.328798,28532.44694,2567.658043,53856.95239,56657.28119
1989,8500.782942,19437.18915,-84.921217,1239.24407,31399.86853,792.613627,59337.84062,60577.08469
1990,11639.12451,21543.0733,-4114.179344,-2455.138111,35090.10049,-4345.2644,68272.29829,65817.16018
1991,9557.679161,21751.39035,-2055.68788,-2292.911955,35671.56172,-2509.264231,66980.63123,64687.71927
1992,9123.934086,23085.72191,-4681.188996,-2796.936063,37895.18965,-3836.146926,70104.84565,67307.90958
1993,8781.395224,23929.72411,162.95423,944.237871,39146.12692,-1789.134441,71857.24625,72801.48413
1994,8212.893024,24743.56681,-682.024185,1960.798226,39715.01891,-679.036923,72671.47874,74632.27696
1995,8436.206267,25457.29729,2000.776806,5144.985089,40042.99,3144.181832,73936.49355,79081.47864
1996,10311.25616,26476.79448,2422.191758,5367.133212,42578.17077,4047.651743,79366.2214,84733.35462
1997,10300.74445,27930.86653,4779.187158,7450.07815,44461.17808,7095.147523,82692.78907,90142.86722
1998,8342.469689,29424.57012,4425.322485,8041.827109,46140.53988,7359.526254,83907.57969,91949.4068
1999,9020.375801,31393.63599,4686.181139,6947.654313,48801.54088,7954.327008,89215.55267,96163.20699
2000,14099.1312,34490.10625,2237.762755,5701.869486,51019.66116,4776.124013,99608.89861,105310.7681
2001,13119.55869,36260.7955,-8008.156676,-10365.12833,52996.33656,-10655.9633,102376.6908,92011.56243
2002,10959.21871,35653.32972,-11761.55057,-9543.815276,47186.10494,-14578.37904,93798.65337,84254.8381
2003,12852.73022,34147.88689,-2088.281163,-3048.978041,48998.14429,-2025.066309,95998.7614,92949.78335
2004,18712.51466,33847.7025,-10046.00824,-3375.334342,57549.17235,-8575.068275,110109.3895,106734.0552
2005,27221.36099,31158.89938,-28646.62986,-2004.762198,62634.50788,-27605.42097,121014.7682,119010.006
2006,31539.19736,30337.9476,16527.30177,5034.936479,64049.22351,16570.27535,125926.3685,130961.3049
2007,33876.8373,31045.19965,6306.09975,6674.818275,66624.57402,7908.534449,131546.611,138221.4292
2008,47945.32549,30798.01096,-24500.24375,-5596.94363,73245.90635,-26154.83918,151989.2428,146392.2992
2009,27419.10646,31026.39456,-2820.948454,1022.09177,63987.5997,-3439.873786,122433.1007,123455.1925
2010,32314.0789,32276.23542,2244.628298,8291.72641,65759.53454,3087.711695,130349.8489,138641.5753
2011,42712.49578,33333.81329,525.489792,5269.989073,71733.06079,846.892723,147779.3699,153049.3589
2012,43987.13902,35630.17466,131.48741,6036.596785,70720.0621,547.850134,150337.3758,156373.9726
2013,41662.8665,35787.20672,12183.26811,11308.765,72836.66137,5179.440575,150286.7346,161595.4996
2014,42472.73554,38289.32445,7383.344244,14600.73328,73913.74792,9850.030367,154675.8079,169276.5412
2015,26174.39331,42642.27141,24793.82291,27993.58903,72064.24524,23886.09369,140880.91,168874.499
2016,21672.30857,46707.86783,14224.45599,25096.11311,74653.16879,21826.35055,143033.3452,168129.4583
2017,25267.7996,50305.79771,15666.21668,21624.38479,78354.94925,19324.2337,153928.5466,175552.9314
2018,33619.73827,52659.94334,11774.60119,17645.86891,83548.1649,15162.67562,169827.8465,187473.7154
2019,31990.33784,56770.79563,14762.91942,20768.37361,86685.11109,19220.64574,175446.2446,196214.6182
2020,11875.68438,47036.15873,-35046.70971,-46488.23322,64874.54825,-45232.07507,123786.3914,77298.15814
2021,22296.78881,49771.83179,-2785.892062,-17351.13033,75292.156,-3356.448557,147360.7766,130009.6463
